"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2022-02-16","'912796L80'","Bills",,,"2022-02-17",,,,,"14061293800",,"0.1181055612017773","0",,
"2022-02-16","'912796R92'","Bills",,,"2022-02-22",,,,,"6212045000",,"0.0456060876890675","0",,
"2022-02-16","'912796D30'","Bills",,,"2022-02-24",,,,,"14707128300",,"0.0956850803932988","0",,
"2022-02-16","'912796S26'","Bills",,,"2022-03-01",,,,,"5401549600",,"0.0398948786137951","0",,
"2022-02-16","'912796L98'","Bills",,,"2022-03-03",,,,,"14839478100",,"0.1238295805122596","0",,
"2022-02-16","'912796S75'","Bills",,,"2022-03-08",,,,,"6622628400",,"0.0484772436082513","0",,
"2022-02-16","'912796M97'","Bills",,,"2022-03-10",,,,,"9985982900",,"0.0570669803959288","0",,
"2022-02-16","'912796S83'","Bills",,,"2022-03-15",,,,,"6784447900",,"0.049598430963647","3340690300",,
"2022-02-16","'912796N21'","Bills",,,"2022-03-17",,,,,"10549300700",,"0.0937273524601694","0",,
"2022-02-16","'912796S91'","Bills",,,"2022-03-22",,,,,"3570955000",,"0.0427290523063295","0",,
"2022-02-16","'912796F38'","Bills",,,"2022-03-24",,,,,"5329403400",,"0.0369251409502763","0",,
"2022-02-16","'912796T25'","Bills",,,"2022-03-29",,,,,"2659450400",,"0.0321734277534045","0",,
"2022-02-16","'912796N39'","Bills",,,"2022-03-31",,,,,"15682348400",,"0.1332570631329906","0",,
"2022-02-16","'912796T74'","Bills",,,"2022-04-05",,,,,"3041371600",,"0.0366242292402696","0",,
"2022-02-16","'912796N47'","Bills",,,"2022-04-07",,,,,"14420836100",,"0.1238651270941939","0",,
"2022-02-16","'912796T82'","Bills",,,"2022-04-12",,,,,"2672552100",,"0.0344078947786844","2672552100",,
"2022-02-16","'912796P29'","Bills",,,"2022-04-14",,,,,"13030699200",,"0.1132738224546205","0",,
"2022-02-16","'912796G45'","Bills",,,"2022-04-21",,,,,"17983092400",,"0.1145542449241895","0",,
"2022-02-16","'912796P37'","Bills",,,"2022-04-28",,,,,"13214055800",,"0.1090162585966803","0",,
"2022-02-16","'912796P45'","Bills",,,"2022-05-05",,,,,"15466116300",,"0.1252735497608924","0",,
"2022-02-16","'912796Q28'","Bills",,,"2022-05-12",,,,,"12025695700",,"0.100189442484881","6487262200",,
"2022-02-16","'912796H44'","Bills",,,"2022-05-19",,,,,"10826706200",,"0.0662469934953012","0",,
"2022-02-16","'912796Q36'","Bills",,,"2022-05-26",,,,,"5032871700",,"0.0898175412304745","0",,
"2022-02-16","'912796Q44'","Bills",,,"2022-06-02",,,,,"7028713200",,"0.1211223317174983","0",,
"2022-02-16","'912796R35'","Bills",,,"2022-06-09",,,,,"4615740100",,"0.0830039730894743","0",,
"2022-02-16","'912796J42'","Bills",,,"2022-06-16",,,,,"8329699300",,"0.0892505154839961","0",,
"2022-02-16","'912796R43'","Bills",,,"2022-06-23",,,,,"1810596600",,"0.0342846445677373","0",,
"2022-02-16","'912796R50'","Bills",,,"2022-06-30",,,,,"7197391000",,"0.1236716662885524","0",,
"2022-02-16","'912796R68'","Bills",,,"2022-07-07",,,,,"6345229300",,"0.1106524228691546","0",,
"2022-02-16","'912796K57'","Bills",,,"2022-07-14",,,,,"9916300800",,"0.1044693523014143","0",,
"2022-02-16","'912796S42'","Bills",,,"2022-07-21",,,,,"6313907600",,"0.1101693237076134","0",,
"2022-02-16","'912796S59'","Bills",,,"2022-07-28",,,,,"6207566600",,"0.1085310918494292","0",,
"2022-02-16","'912796S67'","Bills",,,"2022-08-04",,,,,"7018309000",,"0.1209787093499742","0",,
"2022-02-16","'912796L64'","Bills",,,"2022-08-11",,,,,"9361304300",,"0.09921148562256","5514172800",,
"2022-02-16","'912796M71'","Bills",,,"2022-09-08",,,,,"3419277000",,"0.0913774993736779","0",,
"2022-02-16","'912796M89'","Bills",,,"2022-10-06",,,,,"5630934600",,"0.1420853358794164","0",,
"2022-02-16","'912796N96'","Bills",,,"2022-11-03",,,,,"5106574700",,"0.1305861109401329","0",,
"2022-02-16","'912796P94'","Bills",,,"2022-12-01",,,,,"4685808700",,"0.1211248257331373","0",,
"2022-02-16","'912796R27'","Bills",,,"2022-12-29",,,,,"4798260600",,"0.1236724854752905","0",,
"2022-02-16","'912796S34'","Bills",,,"2023-01-26",,,,,"4138377600",,"0.1085137753678905","0",,
"2022-02-16","'912828ZA1'","NotesBonds",,,"2022-02-28",,,"1.125",,"11470401100",,"0.2491128391032289","0","297000000",
"2022-02-16","'912828J43'","NotesBonds",,,"2022-02-28",,,"1.75",,"3943000000",,"0.1359654075313608","0","1895000000",
"2022-02-16","'912828W55'","NotesBonds",,,"2022-02-28",,,"1.875",,"15937359700",,"0.4116561928484604","0","3193000000",
"2022-02-16","'9128286H8'","NotesBonds",,,"2022-03-15",,,"2.375",,"17138000000",,"0.451000126992141","0","586000000",
"2022-02-16","'912828ZG8'","NotesBonds",,,"2022-03-31",,,"0.375",,"11463828400",,"0.2526409823953254","0","776000000",
"2022-02-16","'912828J76'","NotesBonds",,,"2022-03-31",,,"1.75",,"5177000000",,"0.1785172290677773","0","2183000000",
"2022-02-16","'912828W89'","NotesBonds",,,"2022-03-31",,,"1.875",,"16496233700",,"0.4327879226343361","0","1432000000",
"2022-02-16","'9128286M7'","NotesBonds",,,"2022-04-15",,,"2.25",,"12270280000",,"0.3228539354559878","0","3241000000",
"2022-02-16","'912828ZM5'","NotesBonds",,,"2022-04-30",,,"0.125",,"9916458300",,"0.2172417010287094","0","3022000000",
"2022-02-16","'912828WZ9'","NotesBonds",,,"2022-04-30",,,"1.75",,"2528083400",,"0.0868574999270686","0","828000000",
"2022-02-16","'912828X47'","NotesBonds",,,"2022-04-30",,,"1.875",,"10740491300",,"0.2779571295635769","0","908000000",
"2022-02-16","'912828SV3'","NotesBonds",,,"2022-05-15",,,"1.75",,"45486149100",,"0.6593672064703486","0","659000000",
"2022-02-16","'9128286U9'","NotesBonds",,,"2022-05-15",,,"2.125",,"26596989800",,"0.5220742866357193","0","1713000000",
"2022-02-16","'912828ZR4'","NotesBonds",,,"2022-05-31",,,"0.125",,"12210248800",,"0.2511437637607163","0","1264000000",
"2022-02-16","'912828XR6'","NotesBonds",,,"2022-05-31",,,"1.75",,"10728337700",,"0.281656484108507","0","3279000000",
"2022-02-16","'912828XD7'","NotesBonds",,,"2022-05-31",,,"1.875",,"2318000000",,"0.0799319134581794","0","557000000",
"2022-02-16","'9128286Y1'","NotesBonds",,,"2022-06-15",,,"1.75",,"14921000000",,"0.3926565152725056","0","4180000000",
"2022-02-16","'912828ZX1'","NotesBonds",,,"2022-06-30",,,"0.125",,"13300525900",,"0.2543544442750791","0","3322000000",
"2022-02-16","'912828XW5'","NotesBonds",,,"2022-06-30",,,"1.75",,"15408862500",,"0.4040847720405396","0","1961000000",
"2022-02-16","'912828XG0'","NotesBonds",,,"2022-06-30",,,"2.125",,"4625000000",,"0.1594826816290502","0","1420000000",
"2022-02-16","'9128287C8'","NotesBonds",,,"2022-07-15",,,"1.75",,"13607524200",,"0.3551153642435757","0","1215000000",
"2022-02-16","'91282CAC5'","NotesBonds",,,"2022-07-31",,,"0.125",,"12249646900",,"0.2291641190131353","0","912000000",
"2022-02-16","'9128282P4'","NotesBonds",,,"2022-07-31",,,"1.875",,"10894937200",,"0.2908648851136483","0","2156000000",
"2022-02-16","'912828XQ8'","NotesBonds",,,"2022-07-31",,,"2",,"4960000000",,"0.1710344379358025","0","301000000",
"2022-02-16","'912810EM6'","NotesBonds",,,"2022-08-15",,,"7.25",,"6263500000",,"0.6184468674804671","0","114000000",
"2022-02-16","'912828YA2'","NotesBonds",,,"2022-08-15",,,"1.5",,"32372993800",,"0.5155185894983192","0","3862000000",
"2022-02-16","'912828TJ9'","NotesBonds",,,"2022-08-15",,,"1.625",,"46196000000",,"0.6999935235900961","0","494000000",
"2022-02-16","'91282CAG6'","NotesBonds",,,"2022-08-31",,,"0.125",,"12340694800",,"0.2270862653843755","0","3147000000",
"2022-02-16","'9128282S8'","NotesBonds",,,"2022-08-31",,,"1.625",,"8354679000",,"0.2382590348288661","0","1745000000",
"2022-02-16","'912828L24'","NotesBonds",,,"2022-08-31",,,"1.875",,"5854000000",,"0.2018620933281837","0","514000000",
"2022-02-16","'912828YF1'","NotesBonds",,,"2022-09-15",,,"1.5",,"9786000000",,"0.2575269053905466","0","3025000000",
"2022-02-16","'91282CAN1'","NotesBonds",,,"2022-09-30",,,"0.125",,"15309047700",,"0.2589550593225558","0","3331000000",
"2022-02-16","'912828L57'","NotesBonds",,,"2022-09-30",,,"1.75",,"2867000000",,"0.0988790461567801","0","598000000",
"2022-02-16","'9128282W9'","NotesBonds",,,"2022-09-30",,,"1.875",,"15560380200",,"0.4070271116174842","0","1318000000",
