CATEGORIES
cat_idx,cat_code,cat_desc,cat_indent
1,MDM,"Durable Goods",0
2,DXT,"Durable goods excluding transportation",0
3,DXD,"Durable goods excluding defense",0
4,MTU,"Manufacturing with unfilled orders",0
5,31S,"Primary Metals",0
6,32S,"Fabricated Metal Products",0
7,33S,Machinery,0
8,34S,"Computers and Electronic Products",0
9,CRP,"Computers and Related products",0
10,34X,"Communications Equipment",0
11,35S,"Electrical Equipment, Appliances and Components",0
12,36S,"Transportation Equipment",0
13,MVP,"Motor Vehicles and Parts",0
14,NAP,"Nondefense Aircraft and Parts",0
15,DAP,"Defense Aircraft and Parts",0
16,ODG,"All Other Durable goods",0
17,TCG,"Capital Goods",0
18,NDE,"Nondefense Capital Goods",0
19,NXA,"Nondefense Capital Goods Excluding Aircraft",0
20,DEF,"Defense Capital Goods",0


"DATA TYPES"
dt_idx,dt_code,dt_desc,dt_unit
1,VS,"Value of Shipments",MLN$
2,NO,"New Orders",MLN$
3,UO,"Unfilled Orders",MLN$
4,TI,"Total Inventories",MLN$
5,MPCVS,"Value of Shipments Percent Change Monthly",PCT
6,MPCNO,"New Orders Percent Change Monthly",PCT
7,MPCUO,"Unfilled Orders Percent Change Monthly",PCT
8,MPCTI,"Total Inventories Percent Change Monthly",PCT


"GEO LEVELS"
geo_idx,geo_code,geo_desc
1,US,"U.S. Total"


"TIME PERIODS"
per_idx,per_name
1,Jan1992
2,Feb1992
3,Mar1992
4,Apr1992
5,May1992
6,Jun1992
7,Jul1992
8,Aug1992
9,Sep1992
10,Oct1992
11,Nov1992
12,Dec1992
13,Jan1993
14,Feb1993
15,Mar1993
16,Apr1993
17,May1993
18,Jun1993
19,Jul1993
20,Aug1993
21,Sep1993
22,Oct1993
23,Nov1993
24,Dec1993
25,Jan1994
26,Feb1994
27,Mar1994
28,Apr1994
29,May1994
30,Jun1994
31,Jul1994
32,Aug1994
33,Sep1994
34,Oct1994
35,Nov1994
36,Dec1994
37,Jan1995
38,Feb1995
39,Mar1995
40,Apr1995
41,May1995
42,Jun1995
43,Jul1995
44,Aug1995
45,Sep1995
46,Oct1995
47,Nov1995
48,Dec1995
49,Jan1996
50,Feb1996
51,Mar1996
52,Apr1996
53,May1996
54,Jun1996
55,Jul1996
56,Aug1996
57,Sep1996
58,Oct1996
59,Nov1996
60,Dec1996
61,Jan1997
62,Feb1997
63,Mar1997
64,Apr1997
65,May1997
66,Jun1997
67,Jul1997
68,Aug1997
69,Sep1997
70,Oct1997
71,Nov1997
72,Dec1997
73,Jan1998
74,Feb1998
75,Mar1998
76,Apr1998
77,May1998
78,Jun1998
79,Jul1998
80,Aug1998
81,Sep1998
82,Oct1998
83,Nov1998
84,Dec1998
85,Jan1999
86,Feb1999
87,Mar1999
88,Apr1999
89,May1999
90,Jun1999
91,Jul1999
92,Aug1999
93,Sep1999
94,Oct1999
95,Nov1999
96,Dec1999
97,Jan2000
98,Feb2000
99,Mar2000
100,Apr2000
101,May2000
102,Jun2000
103,Jul2000
104,Aug2000
105,Sep2000
106,Oct2000
107,Nov2000
108,Dec2000
109,Jan2001
110,Feb2001
111,Mar2001
112,Apr2001
113,May2001
114,Jun2001
115,Jul2001
116,Aug2001
117,Sep2001
118,Oct2001
119,Nov2001
120,Dec2001
121,Jan2002
122,Feb2002
123,Mar2002
124,Apr2002
125,May2002
126,Jun2002
127,Jul2002
128,Aug2002
129,Sep2002
130,Oct2002
131,Nov2002
132,Dec2002
133,Jan2003
134,Feb2003
135,Mar2003
136,Apr2003
137,May2003
138,Jun2003
139,Jul2003
140,Aug2003
141,Sep2003
142,Oct2003
143,Nov2003
144,Dec2003
145,Jan2004
146,Feb2004
147,Mar2004
148,Apr2004
149,May2004
150,Jun2004
151,Jul2004
152,Aug2004
153,Sep2004
154,Oct2004
155,Nov2004
156,Dec2004
157,Jan2005
158,Feb2005
159,Mar2005
160,Apr2005
161,May2005
162,Jun2005
163,Jul2005
164,Aug2005
165,Sep2005
166,Oct2005
167,Nov2005
168,Dec2005
169,Jan2006
170,Feb2006
171,Mar2006
172,Apr2006
173,May2006
174,Jun2006
175,Jul2006
176,Aug2006
177,Sep2006
178,Oct2006
179,Nov2006
180,Dec2006
181,Jan2007
182,Feb2007
183,Mar2007
184,Apr2007
185,May2007
186,Jun2007
187,Jul2007
188,Aug2007
189,Sep2007
190,Oct2007
191,Nov2007
192,Dec2007
193,Jan2008
194,Feb2008
195,Mar2008
196,Apr2008
197,May2008
198,Jun2008
199,Jul2008
200,Aug2008
201,Sep2008
202,Oct2008
203,Nov2008
204,Dec2008
205,Jan2009
206,Feb2009
207,Mar2009
208,Apr2009
209,May2009
210,Jun2009
211,Jul2009
212,Aug2009
213,Sep2009
214,Oct2009
215,Nov2009
216,Dec2009
217,Jan2010
218,Feb2010
219,Mar2010
220,Apr2010
221,May2010
222,Jun2010
223,Jul2010
224,Aug2010
225,Sep2010
226,Oct2010
227,Nov2010
228,Dec2010
229,Jan2011
230,Feb2011
231,Mar2011
232,Apr2011
233,May2011
234,Jun2011
235,Jul2011
236,Aug2011
237,Sep2011
238,Oct2011
239,Nov2011
240,Dec2011
241,Jan2012
242,Feb2012
243,Mar2012
244,Apr2012
245,May2012
246,Jun2012
247,Jul2012
248,Aug2012
249,Sep2012
250,Oct2012
251,Nov2012
252,Dec2012
253,Jan2013
254,Feb2013
255,Mar2013
256,Apr2013
257,May2013
258,Jun2013
259,Jul2013
260,Aug2013
261,Sep2013
262,Oct2013
263,Nov2013
264,Dec2013
265,Jan2014
266,Feb2014
267,Mar2014
268,Apr2014
269,May2014
270,Jun2014
271,Jul2014
272,Aug2014
273,Sep2014
274,Oct2014
275,Nov2014
276,Dec2014
277,Jan2015
278,Feb2015
279,Mar2015
280,Apr2015
281,May2015
282,Jun2015
283,Jul2015
284,Aug2015
285,Sep2015
286,Oct2015
287,Nov2015
288,Dec2015
289,Jan2016
290,Feb2016
291,Mar2016
292,Apr2016
293,May2016
294,Jun2016
295,Jul2016
296,Aug2016
297,Sep2016
298,Oct2016
299,Nov2016
300,Dec2016
301,Jan2017
302,Feb2017
303,Mar2017
304,Apr2017
305,May2017
306,Jun2017
307,Jul2017
308,Aug2017
309,Sep2017
310,Oct2017
311,Nov2017
312,Dec2017
313,Jan2018
314,Feb2018
315,Mar2018
316,Apr2018
317,May2018
318,Jun2018
319,Jul2018
320,Aug2018
321,Sep2018
322,Oct2018
323,Nov2018
324,Dec2018
325,Jan2019
326,Feb2019
327,Mar2019
328,Apr2019
329,May2019
330,Jun2019
331,Jul2019
332,Aug2019
333,Sep2019
334,Oct2019
335,Nov2019
336,Dec2019
337,Jan2020
338,Feb2020
339,Mar2020
340,Apr2020
341,May2020
342,Jun2020
343,Jul2020
344,Aug2020
345,Sep2020
346,Oct2020
347,Nov2020
348,Dec2020
349,Jan2021
350,Feb2021
351,Mar2021
352,Apr2021
353,May2021
354,Jun2021
355,Jul2021
356,Aug2021
357,Sep2021
358,Oct2021
359,Nov2021
360,Dec2021
361,Jan2022
362,Feb2022
363,Mar2022


NOTES
"<p>Revised historical data from the Manufacturers&#8217  Shipments, Inventories, and Orders (M3) Survey were issued on May 14, 2021.  These revisions result from: benchmarking the M3 shipments and inventories data to the 2019 and 2018 Annual Survey of Manufactures (ASM) data, as well as to revised ASM data from 2013 through 2016, resulting from benchmarking the ASM to the 2017 Economic Census; incorporating the unfilled orders to shipments ratios obtained for 2019 and 2018 from the Manufacturers&#8217  Unfilled Orders (M3UFO) Survey by applying these ratios to the respective ASM shipments data, as well as incorporating revised unfilled orders to shipments ratios for prior years; adjusting the new orders data to be consistent with the benchmarked shipments and unfilled orders data; correcting monthly data for late receipts, reclassifications of reported data, and revisions to previously reported data; updating the seasonally adjusted data based on the results of benchmarking and the recent annual review of the seasonal adjustment models.  These revisions spanned the seasonally adjusted data for January 2007 through March 2021 and the data not seasonally adjusted for January 2012 through March 2021.  An updated Press Release contains revised monthly tables for January 2021 through March 2021.  </p>
			  
<p>For the Manufacturers' Shipments, Inventories, and Orders Survey, all current month estimates are preliminary estimates and will be superseded in following months by revised estimates.</p>

<p>For information on survey methodology and use of the data, including seasonal adjustment and other information pertinent to this economic indicator, go to the <a target=""_blank"" href=""http://www.census.gov/manufacturing/m3/index.html"">Manufacturers' Shipments, Inventories, and Orders</a> website, which provides a link to <a target=""_blank"" href=""http://www.census.gov/manufacturing/m3/historical_data/index.html"">historical data</a>.</p>"


"DATA UPDATED ON"
"Tuesday, 26-Apr-22 08:20:53 EDT"


DATA
per_idx,cat_idx,dt_idx,geo_idx,is_adj,val
1,1,4,1,1,242159
1,2,4,1,1,171640
1,3,4,1,1,211086
1,4,4,1,1,198103
1,5,4,1,1,16961
1,6,4,1,1,25698
1,7,4,1,1,36225
1,8,4,1,1,45630
1,9,4,1,1,9490
1,10,4,1,1,5790
1,11,4,1,1,12811
1,12,4,1,1,70519
1,13,4,1,1,17894
1,14,4,1,1,25290
1,15,4,1,1,18156
1,16,4,1,1,34315
1,17,4,1,1,124568
1,18,4,1,1,98058
1,19,4,1,1,79455
1,20,4,1,1,26510
1,1,4,1,0,239750
1,2,4,1,0,170139
1,3,4,1,0,209206
1,4,4,1,0,195857
1,5,4,1,0,16953
1,6,4,1,0,25605
1,7,4,1,0,35990
1,8,4,1,0,44848
1,9,4,1,0,9365
1,10,4,1,0,5753
1,11,4,1,0,12529
1,12,4,1,0,69611
1,13,4,1,0,17874
1,14,4,1,0,24830
1,15,4,1,0,17864
1,16,4,1,0,34214
1,17,4,1,0,122827
1,18,4,1,0,96554
1,19,4,1,0,78405
1,20,4,1,0,26273
1,1,3,1,1,471297
1,2,3,1,1,194865
1,3,3,1,1,305561
1,4,3,1,1,471297
1,5,3,1,1,17998
1,6,3,1,1,31219
1,7,3,1,1,40073
1,8,3,1,1,86541
1,9,3,1,1,6767
1,10,3,1,1,11979
1,11,3,1,1,12830
1,12,3,1,1,276432
1,13,3,1,1,11961
1,14,3,1,1,133946
1,15,3,1,1,54774
1,16,3,1,1,6204
1,17,3,1,1,332781
1,18,3,1,1,183484
1,19,3,1,1,90711
1,20,3,1,1,149297
1,1,3,1,0,477445
1,2,3,1,0,197103
1,3,3,1,0,308374
1,4,3,1,0,477445
1,5,3,1,0,18224
1,6,3,1,0,31297
1,7,3,1,0,40434
1,8,3,1,0,88041
1,9,3,1,0,6767
1,10,3,1,0,12216
1,11,3,1,0,12958
1,12,3,1,0,280342
1,13,3,1,0,12281
1,14,3,1,0,135072
1,15,3,1,0,54985
1,16,3,1,0,6149
1,17,3,1,0,338116
1,18,3,1,0,185215
1,19,3,1,0,91182
