,"Real GDP gap, CBO","Real GDP gap, BOG model, 2-sided estimate","Twice unemployment rate gap, Survey of Professional Forecasters","Twice unemployment rate gap, FOMC SEP","Twice unemployment rate gap, CBO","U6 gap, consistent with CBO natural rate of unemployment","ZPOP gap, consistent with CBO natural rate of unemployment","Twice unemployment rate gap, BOG model, 2-sided estimate","Real GDP gap, BOG model, 1-sided estimate","Twice unemployment rate gap, BOG model, 1-sided estimate","Real GDP gap, CBO, real-time (1st GDP estimate)","Real GDP gap, CBO, real-time (2nd GDP estimate)","Real GDP gap, CBO, real-time (3rd GDP estimate)","Twice unemployment rate gap, real-time (1st unempl. estimate)","Twice unemployment rate gap, real-time (2nd unempl. estimate)","Twice unemployment rate gap, real-time (3rd unempl. estimate)","Twice unemployment rate gap, real-time (4th unempl. estimate)","Twice employment-population ratio gap, CBO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBOGDPgap,BoardModelGDPgap,U3gapSPF,U3gapFOMC,U3gapCBO,U6gapCBO,ZPopGapCBO,U3gapBoardModel,BoardModelGDPgap1side,U3gapBoardModel1side,CBOGDPgapRTest1,CBOGDPgapRTest2,CBOGDPgapRTest3,U3gapCBORTest1,U3gapCBORTest2,U3gapCBORTest3,U3gapCBORTest4,EPopGapCBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/1955,2.321454928,#N/A,#N/A,#N/A,1.293333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.538660457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1955,3.315336798,#N/A,#N/A,#N/A,1.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.516239417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1955,4.050317688,#N/A,#N/A,#N/A,2.58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.117454061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/1955,3.99685091,#N/A,#N/A,#N/A,2.313333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.841378733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/1956,2.9116077,#N/A,#N/A,#N/A,2.713333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.033251488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1956,3.091237098,#N/A,#N/A,#N/A,2.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.026462369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1956,2.304942236,#N/A,#N/A,#N/A,2.533333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.099566953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/1956,3.257290143,#N/A,#N/A,#N/A,2.533333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.695580453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/1957,3.128713057,#N/A,#N/A,#N/A,2.933333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.693032477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1957,2.077893605,#N/A,#N/A,#N/A,2.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.291929517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1957,2.223968465,#N/A,#N/A,#N/A,2.353333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.237440113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/1957,0.291372185,#N/A,#N/A,#N/A,0.953333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.172519388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/1958,-3.152819417,#N/A,#N/A,#N/A,-1.78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.891028722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1958,-3.383606444,#N/A,#N/A,#N/A,-3.893333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.474750658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1958,-2.0331631,#N/A,#N/A,#N/A,-3.826666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.335737323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/1958,-0.679939999,#N/A,#N/A,#N/A,-1.873333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.917057982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/1959,0.279275294,#N/A,#N/A,#N/A,-0.806666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.509165019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1959,1.554586506,#N/A,#N/A,#N/A,0.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.578173489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1959,0.604425192,#N/A,#N/A,#N/A,0.346666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.321147461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/1959,-0.116399112,#N/A,#N/A,#N/A,-0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.143292624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/1960,1.090965368,#N/A,#N/A,#N/A,0.653333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.167384431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1960,-0.45626155,#N/A,#N/A,#N/A,0.453333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.977117404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1960,-0.962348139,#N/A,#N/A,#N/A,-0.126666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.60029716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/1960,-3.188860254,#N/A,#N/A,#N/A,-1.573333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.109861463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/1961,-3.48733579,#N/A,#N/A,#N/A,-2.64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.632042779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1961,-2.77844163,#N/A,#N/A,#N/A,-3.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.142773384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/1961,-1.88149525,#N/A,#N/A,#N/A,-2.533333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.454080413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/1961,-0.935004831,#N/A,#N/A,#N/A,-1.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.032827191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/1962,-0.175176455,#N/A,#N/A,#N/A,-0.246666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.557705522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/1962,-0.294522797,#N/A,#N/A,#N/A,-0.026666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.60525752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
