,"Core PCE inflation, 4-quarter","PCE inflation, 4-quarter",Survey of Professional Forecasters expected 4-quarter PCE inflation ,"Core PCE inflation, 4-quarter, real-time (1st estimate)","Core PCE inflation, 4-quarter, real-time (2nd estimate)","Core PCE inflation, 4-quarter, real-time (3rd estimate)","PCE inflation, 4-quarter, real-time (1st estimate)","PCE inflation, 4-quarter, real-time (2nd estimate)","PCE inflation, 4-quarter, real-time (3rd estimate)",10-year expected PCE price inflation (Survey of Professional Forecasters),,,,,,,,,,,,,,,
,CorePCEInflation,PCEInflation,ExpectedPCEInflation,CorePCEInflationRTest1,CorePCEInflationRTest2,CorePCEInflationRTest3,PCEInflationRTest1,PCEInflationRTest2,PCEInflationRTest3,PTR,,,,,,,,,,,,,,,
2/15/1955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
5/15/1955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
8/15/1955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
11/15/1955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
2/15/1956,#N/A,1.185235353877,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
5/15/1956,#N/A,1.759133964817,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
8/15/1956,#N/A,2.352069011996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
11/15/1956,#N/A,2.668190066537,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
2/15/1957,#N/A,3.165997322624,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
5/15/1957,#N/A,3.131648936170,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
8/15/1957,#N/A,2.963060512280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
11/15/1957,#N/A,2.893427598848,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
2/15/1958,#N/A,3.237526763122,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
5/15/1958,#N/A,2.772226162079,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
8/15/1958,#N/A,2.020847988745,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
11/15/1958,#N/A,1.456928362387,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
2/15/1959,#N/A,0.904977375566,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
5/15/1959,#N/A,1.129163791481,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
8/15/1959,#N/A,1.667397981571,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
11/15/1959,#N/A,2.257477895529,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
2/15/1960,2.107405855236,1.694070752367,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
5/15/1960,1.953311100524,1.817505117549,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
8/15/1960,1.674159962139,1.578395708737,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
11/15/1960,1.417480296436,1.477892929417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
2/15/1961,1.278217531516,1.537236648702,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
5/15/1961,1.220794392523,0.993054709394,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
8/15/1961,1.268400535288,0.977238239757,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
11/15/1961,1.183088789654,0.640560792845,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,
2/15/1962,1.377872980953,0.886663851861,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6827,,,,,,,,,,,,,,,
5/15/1962,1.436897685960,1.260783012608,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6827,,,,,,,,,,,,,,,
8/15/1962,1.327204826199,1.172156768454,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6827,,,,,,,,,,,,,,,
