"","month","cpi_energy","wti"
"1",1986 Jan,102.6,22.9254545454545
"2",1986 Feb,99.5,15.4547368421053
"3",1986 Mar,92.6,12.6125
"4",1986 Apr,87.2,12.8436363636364
"5",1986 May,87.2,15.377619047619
"6",1986 Jun,88.8,13.4257142857143
"7",1986 Jul,85.6,11.5845454545455
"8",1986 Aug,83.6,15.0966666666667
"9",1986 Sep,84.4,14.8666666666667
"10",1986 Oct,82.8,14.8968181818182
"11",1986 Nov,82.1,15.2215789473684
"12",1986 Dec,82.5,16.107619047619
"13",1987 Jan,85.4,18.6514285714286
"14",1987 Feb,87.4,17.7489473684211
"15",1987 Mar,87.6,18.3028571428571
"16",1987 Apr,87.6,18.6771428571429
"17",1987 May,87.1,19.4375
"18",1987 Jun,88.5,20.0731818181818
"19",1987 Jul,89.2,21.3421739130435
"20",1987 Aug,90.5,20.3109523809524
"21",1987 Sep,90.3,19.53
"22",1987 Oct,89.6,19.8590909090909
"23",1987 Nov,90,18.854
"24",1987 Dec,89.5,17.2745454545455
"25",1988 Jan,88.8,17.1295
"26",1988 Feb,88.7,16.7957142857143
"27",1988 Mar,88.4,16.1973913043478
"28",1988 Apr,88.8,17.8625
"29",1988 May,88.5,17.4236363636364
"30",1988 Jun,88.9,16.5277272727273
"31",1988 Jul,89.4,15.4975
"32",1988 Aug,90.1,15.5234782608696
"33",1988 Sep,89.8,14.5354545454545
"34",1988 Oct,89.8,13.7704761904762
"35",1988 Nov,89.8,14.1413636363636
"36",1988 Dec,89.6,16.382380952381
"37",1989 Jan,90.3,18.0242857142857
"38",1989 Feb,90.8,17.9365
"39",1989 Mar,91.8,19.4840909090909
"40",1989 Apr,96.6,21.069
"41",1989 May,97.4,20.1234782608696
"42",1989 Jun,96.9,20.0504545454545
"43",1989 Jul,96.7,19.7814285714286
"44",1989 Aug,94.9,18.5778260869565
"45",1989 Sep,93.8,19.5914285714286
"46",1989 Oct,94.4,20.0977272727273
"47",1989 Nov,93.9,19.8559090909091
"48",1989 Dec,94.2,21.1
"49",1990 Jan,98.9,22.8631818181818
"50",1990 Feb,98.2,22.113
"51",1990 Mar,97.6,20.3877272727273
"52",1990 Apr,97.5,18.4255
"53",1990 May,96.7,18.1995454545455
"54",1990 Jun,97.3,16.6952380952381
"55",1990 Jul,97.1,18.4540909090909
"56",1990 Aug,101.6,27.3073913043478
"57",1990 Sep,106.5,33.5075
"58",1990 Oct,110.8,36.0395652173913
"59",1990 Nov,111.2,32.3322727272727
"60",1990 Dec,111,27.281
"61",1991 Jan,108.5,25.2340909090909
"62",1991 Feb,104.5,20.4775
"63",1991 Mar,101.9,19.9015
"64",1991 Apr,101.2,20.83
"65",1991 May,102.1,21.2322727272727
"66",1991 Jun,101.1,20.189
"67",1991 Jul,100.7,21.4030434782609
"68",1991 Aug,101.1,21.6936363636364
"69",1991 Sep,101.5,21.8865
"70",1991 Oct,101.6,23.2308695652174
"71",1991 Nov,102.4,22.4609523809524
"72",1991 Dec,103.1,19.4980952380952
"73",1992 Jan,101.5,18.7854545454545
"74",1992 Feb,101.2,19.0125
"75",1992 Mar,101.2,18.9218181818182
"76",1992 Apr,101.4,20.23
"77",1992 May,102,20.9755
"78",1992 Jun,103.3,22.3845454545455
"79",1992 Jul,103.7,21.7752173913043
"80",1992 Aug,103.5,21.3390476190476
"81",1992 Sep,103.6,21.8813636363636
"82",1992 Oct,104.3,21.6859090909091
"83",1992 Nov,105.1,20.3385
"84",1992 Dec,105.3,19.4140909090909
"85",1993 Jan,105,19.032
"86",1993 Feb,104.3,20.0861111111111
"87",1993 Mar,104.9,20.3221739130435
"88",1993 Apr,104.9,20.2525
"89",1993 May,104.3,19.9495
"90",1993 Jun,103.9,19.0940909090909
"91",1993 Jul,103.4,17.89
"92",1993 Aug,103.4,18.0109090909091
"93",1993 Sep,103,17.5042857142857
"94",1993 Oct,105.3,18.1533333333333
"95",1993 Nov,104.4,16.6090476190476
"96",1993 Dec,103.7,14.5147619047619
"97",1994 Jan,102.8,15.0266666666667
"98",1994 Feb,104.1,14.7810526315789
"99",1994 Mar,104.3,14.6808695652174
"100",1994 Apr,103.7,16.42
"101",1994 May,102.8,17.8890476190476
"102",1994 Jun,103.1,19.06
"103",1994 Jul,104.5,19.6545
"104",1994 Aug,106.7,18.3834782608696
"105",1994 Sep,106.1,17.4457142857143
"106",1994 Oct,105.7,17.7161904761905
"107",1994 Nov,106.1,18.0695
"108",1994 Dec,105.9,17.1595238095238
"109",1995 Jan,105.7,18.0395238095238
"110",1995 Feb,105.8,18.57
"111",1995 Mar,105.5,18.5391304347826
"112",1995 Apr,105.6,19.8963157894737
"113",1995 May,105.8,19.7418181818182
"114",1995 Jun,106.7,18.4459090909091
"115",1995 Jul,105.8,17.3255
"116",1995 Aug,105.6,18.0208695652174
"117",1995 Sep,104.1,18.2255
"118",1995 Oct,104.4,17.4331818181818
"119",1995 Nov,103.4,17.9925
"120",1995 Dec,104.4,19.0265
"121",1996 Jan,106.9,18.8545454545455
"122",1996 Feb,107.1,19.0935
"123",1996 Mar,108.3,21.332380952381
"124",1996 Apr,111.2,23.4971428571429
"125",1996 May,112,21.1654545454545
"126",1996 Jun,110.3,20.4235
"127",1996 Jul,110.1,21.3022727272727
"128",1996 Aug,109.7,21.9031818181818
"129",1996 Sep,109.8,23.9715
"130",1996 Oct,110.5,24.8791304347826
"131",1996 Nov,111.8,23.705
"132",1996 Dec,113.9,25.2285714285714
"133",1997 Jan,115.2,25.1318181818182
"134",1997 Feb,115,22.1763157894737
"135",1997 Mar,113,20.965
"136",1997 Apr,111,19.6954545454545
"137",1997 May,108.8,20.8190476190476
"138",1997 Jun,110,19.26
"139",1997 Jul,109.1,19.6636363636364
"140",1997 Aug,110.9,19.9528571428571
"141",1997 Sep,112.4,19.8033333333333
"142",1997 Oct,111.8,21.3252173913043
